Lichter der Großstadt - Eine Komödien-Romance als Pantomime	1931	8.4	Charles Chaplin 	https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt0021749/
Apocalypse Now	1979	8.4	Francis Ford Coppola 	https://m.media-amazon.com/images/M/MV5BMDdhODg0MjYtYzBiOS00ZmI5LWEwZGYtZDEyNDU4MmQyNzFkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt0078788/
Memento	2000	8.4	Christopher Nolan 	https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt0209144/
Django Unchained	2012	8.4	Quentin Tarantino 	https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_UY67_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt1853728/
Jäger des verlorenen Schatzes	1981	8.4	Steven Spielberg 	https://m.media-amazon.com/images/M/MV5BNTU2ODkyY2MtMjU1NC00NjE1LWEzYjgtMWQ3MzRhMTE0NDc0XkEyXkFqcGdeQXVyMjM4MzQ4OTQ@._V1_UY67_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt0082971/
WALL·E - Der Letzte räumt die Erde auf	2008	8.4	Andrew Stanton 	https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_UY67_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt0910970/
Das Leben der Anderen	2006	8.4	Florian Henckel von Donnersmarck 	https://m.media-amazon.com/images/M/MV5BNmQyNmJjM2ItNTQzYi00ZjMxLWFjMDYtZjUyN2YwZDk5YWQ2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX45_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt0405094/
Boulevard der Dämmerung	1950	8.4	Billy Wilder 	https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_UX45_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt0043014/
Wege zum Ruhm	1957	8.4	Stanley Kubrick 	https://m.media-amazon.com/images/M/MV5BOTI5Nzc0OTMtYzBkMS00NjkxLThmM2UtNjM2ODgxN2M5NjNkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt0050825/
Shining	1980	8.4	Stanley Kubrick 	https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX45_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt0081505/
Der große Diktator	1940	8.4	Charles Chaplin 	https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt0032553/
Avengers: Infinity War	2018	8.4	Anthony Russo 	https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_UY67_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt4154756/
Zeugin der Anklage	1957	8.4	Billy Wilder 	https://m.media-amazon.com/images/M/MV5BNDQwODU5OWYtNDcyNi00MDQ1LThiOGMtZDkwNWJiM2Y3MDg0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX45_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt0051201/
Aliens	1986	8.3	James Cameron 	https://m.media-amazon.com/images/M/MV5BZTM1Nzk5ZTItN2ZkNi00MDRjLWIwYWUtOWY4ZjZmZjkyM2I0XkEyXkFqcGdeQXVyNTU1NTcwOTk@._V1_UX45_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt0090605/
Spider-Man: A New Universe	2018	8.3	Bob Persichetti 	https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_UY67_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt4633694/
American Beauty	1999	8.3	Sam Mendes 	https://m.media-amazon.com/images/M/MV5BNTBmZWJkNjctNDhiNC00MGE2LWEwOTctZTk5OGVhMWMyNmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt0169547/
Dr. Seltsam oder: Wie ich lernte, die Bombe zu lieben	1964	8.3	Stanley Kubrick 	https://m.media-amazon.com/images/M/MV5BZWI3ZTMxNjctMjdlNS00NmUwLWFiM2YtZDUyY2I3N2MxYTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt0057012/
The Dark Knight Rises	2012	8.3	Christopher Nolan 	https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_UY67_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt1345836/
Oldboy	2003	8.3	Park Chan-wook 	https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_UY67_CR0,0,45,67_AL_.jpg	https://www.imdb.com/title/tt0364569/
